Ｎｏ,分類,アイテム名,アイテム名：漢字,アイコンキャラ(*.sch),アイコンパレット(*.scl),買値,装備効果,威力,装備効果説明＆発動タイミング,なげつける威力,なげつける効果,しぜんのめぐみ威力,しぜんのめぐみタイプ,ついばむ効果,フィールドバック画面１行目：18文字目安,フィールドバック画面２行目：18文字目安,フィールドバック画面３行目：18文字目安,漢字の説明１,漢字の説明２,漢字の説明３,重要,便利,field保存先,b保存ボール,b保存戦闘用,b保存ＨＰ,b保存状態異常,b保存PP,Ｆ使用,Ｂ使用,ワークタイプ,ワーク,能力ガード,クリティカル,攻撃力,防御力,素早さ,命中率,特殊攻撃,特殊防御,レベルup,pp回復flg　（０＝選択ナシ、１＝選択アリ  ,pp回復値,pp値up,HP努力値,攻撃努力値,防御努力値,素早努力値,特攻努力値,特防努力値,なつき度1　（なつき度100未満）,なつき度2　（なつき度100以上200未満,なつき度3　（なつき度200以上）,眠り回復,毒回復,やけど回復,こおり回復,まひ回復,混乱回復,メロメロ回復,ＨＰ回復,瀕死回復,進化,備考／入手場所…ＦＳ（フレンドリーショップ）
023,くすり,かいふくのくすり,かいふくのくすり,item_019,item_019,003000,0,255,,30,0,0,ー,0,ポケモン　１ひきの　ＨＰと,じょうたい　いじょうを　すべて,かいふくする。,ポケモン　１ひきの　ＨＰと,じょうたい　いじょうを　すべて,かいふくする。,0,0,DRUG,0,0,1,1,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,255,0,0,チャンピオンロード２Ｆで拾う。アオイの合言葉で入手。
024,くすり,まんたんのくすり,まんたんのくすり,item_019,item_020,002500,0,255,,30,0,0,ー,0,スプレーしきの　キズぐすり。,ポケモン　１ひきの　ＨＰを,すべて　かいふくする。,スプレーしきの　キズぐすり。,ポケモン　１ひきの　ＨＰを,すべて　かいふくする。,0,0,DRUG,0,0,1,0,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,
025,くすり,すごいキズぐすり,すごいキズぐすり,item_013,item_021,001200,0,200,,30,0,0,ー,0,スプレーしきの　キズぐすり。,ポケモン　１ひきの　ＨＰを,２００だけ　かいふくする。,スプレーしきの　キズぐすり。,ポケモン　１ひきの　ＨＰを,２００だけ　かいふくする。,0,0,DRUG,0,0,1,0,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,
026,くすり,いいキズぐすり,いいキズぐすり,item_013,item_022,000700,0,50,,30,0,0,ー,0,スプレーしきの　キズぐすり。,ポケモン　１ひきの　ＨＰを,５０だけ　かいふくする。,スプレーしきの　キズぐすり。,ポケモン　１ひきの　ＨＰを,５０だけ　かいふくする。,0,0,DRUG,0,0,1,0,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,
027,くすり,なんでもなおし,なんでもなおし,item_023,item_023,000600,0,0,,30,0,0,ー,0,スプレーしきの　くすり。,ポケモン　１ひきの　じょうたいの,いじょうを　すべて　かいふくする。,スプレーしきの　くすり。,ポケモン　１ひきの　じょうたいの,いじょうを　すべて　かいふくする。,0,0,DRUG,0,0,0,1,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,チャンピオンロード１Ｆで拾う
028,くすり,げんきのかけら,げんきのかけら,item_024,item_025,001500,0,0,,30,0,0,ー,0,ひんしに　なってしまった,ポケモン　１ひきの　ＨＰを,はんぶんまで　かいふくする。,ひんしに　なってしまった,ポケモン　１ひきの　ＨＰを,はんぶんまで　かいふくする。,0,0,DRUG,0,0,0,1,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,1,0,
029,くすり,げんきのかたまり,げんきのかたまり,item_025,item_025,004000,0,0,,30,0,0,ー,0,ひんしに　なってしまった,ポケモン　１ひきの　ＨＰを,すべて　かいふくする。,ひんしに　なってしまった,ポケモン　１ひきの　ＨＰを,すべて　かいふくする。,0,0,DRUG,0,0,0,1,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,1,0,ラジオ塔(コガネ)：ＩＤクジの１等景品。チャンピオンロード１Ｆで拾う
030,くすり,おいしいみず,おいしいみず,item_026,item_026,000200,0,50,,30,0,0,ー,0,ミネラル　たっぷりの　みず。,ポケモン　１ひきの　ＨＰを,５０だけ　かいふくする。,ミネラル　たっぷりの　みず。,ポケモン　１ひきの　ＨＰを,５０だけ　かいふくする。,0,0,DRUG,0,0,1,0,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,自販機で購入。デパート、ポケスロン会場など
031,くすり,サイコソーダ,サイコソーダ,item_027,item_027,000300,0,60,,30,0,0,ー,0,シュワっと　はじける　ソーダ。,ポケモン　１ひきの　ＨＰを,６０だけ　かいふくする。,シュワっと　はじける　ソーダ。,ポケモン　１ひきの　ＨＰを,６０だけ　かいふくする。,0,0,DRUG,0,0,1,0,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,自販機で購入。デパート、ポケスロン会場など
032,くすり,ミックスオレ,ミックスオレ,item_028,item_028,000350,0,80,,30,0,0,ー,0,とても　あまい　ジュース。,ポケモン　１ひきの　ＨＰを,８０だけ　かいふくする。,とても　あまい　ジュース。,ポケモン　１ひきの　ＨＰを,８０だけ　かいふくする。,0,0,DRUG,0,0,1,0,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,自販機で購入。デパート、ポケスロン会場など
033,くすり,モーモーミルク,モーモーミルク,item_029,item_029,000500,0,100,,30,0,0,ー,0,えいよう　まんてんの　ミルク。,ポケモン　１ひきの　ＨＰを,１００だけ　かいふくする。,えいよう　まんてんの　ミルク。,ポケモン　１ひきの　ＨＰを,１００だけ　かいふくする。,0,0,DRUG,0,0,1,0,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,モーモー牧場(39番道路)で購入。（ミルタンク快復後）
034,くすり,ちからのこな,ちからのこな,item_030,item_030,000500,0,0,,30,0,0,ー,0,とても　にがい　こなぐすり。,ポケモン　１ひきの　ＨＰを,５０だけ　かいふくする。,とても　にがい　こなぐすり。,ポケモン　１ひきの　ＨＰを,５０だけ　かいふくする。,0,0,DRUG,0,0,1,0,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-10,0,0,0,0,0,0,0,50,0,0,
035,くすり,ちからのねっこ,ちからのねっこ,item_031,item_031,000800,0,0,,30,0,0,ー,0,とても　にがい　ねっこ。,ポケモン　１ひきの　ＨＰを,２００だけ　かいふくする。,とても　にがい　ねっこ。,ポケモン　１ひきの　ＨＰを,２００だけ　かいふくする。,0,0,DRUG,0,0,1,0,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-10,-15,0,0,0,0,0,0,0,200,0,0,
036,くすり,ばんのうごな,ばんのうごな,item_030,item_032,000450,0,0,,30,0,0,ー,0,とても　にがい　こなぐすり。,ポケモン　１ひきの　じょうたいの,いじょうを　すべて　かいふくする。,とても　にがい　こなぐすり。,ポケモン　１ひきの　じょうたいの,いじょうを　すべて　かいふくする。,0,0,DRUG,0,0,0,1,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-10,1,1,1,1,1,1,0,0,0,0,
037,くすり,ふっかつそう,ふっかつそう,item_033,item_033,002800,0,0,,30,0,0,ー,0,とても　にがい　やくそう。,ひんしの　ポケモン　１ひきの,ＨＰを　すべて　かいふくする。,とても　にがい　やくそう。,ひんしの　ポケモン　１ひきの,ＨＰを　すべて　かいふくする。,0,0,DRUG,0,0,0,1,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,-15,-20,0,0,0,0,0,0,0,255,1,0,
038,くすり,ピーピーエイド,ピーピーエイド,item_034,item_034,001200,0,10,,30,0,0,ー,0,ポケモンが　おぼえている,わざのうち　１つの　ＰＰを,１０だけ　かいふくする。,ポケモンが　おぼえている,わざのうち　１つの　ＰＰを,１０だけ　かいふくする。,0,0,DRUG,0,0,0,0,1,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
039,くすり,ピーピーリカバー,ピーピーリカバー,item_034,item_035,002000,0,255,,30,0,0,ー,0,ポケモンが　おぼえている,わざのうち　１つの　ＰＰを,すべて　かいふくする。,ポケモンが　おぼえている,わざのうち　１つの　ＰＰを,すべて　かいふくする。,0,0,DRUG,0,0,0,0,1,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,1,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
040,くすり,ピーピーエイダー,ピーピーエイダー,item_034,item_036,003000,0,10,,30,0,0,ー,0,ポケモンが　おぼえている,４つの　わざの　ＰＰを,１０ずつ　かいふくする。,ポケモンが　おぼえている,４つの　わざの　ＰＰを,１０ずつ　かいふくする。,0,0,DRUG,0,0,0,0,1,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,いかりの湖：コイキング大きさ比べ
041,くすり,ピーピーマックス,ピーピーマックス,item_034,item_037,004500,0,255,,30,0,0,ー,0,ポケモンが　おぼえている,４つの　わざの　ＰＰを,すべて　かいふくする。,ポケモンが　おぼえている,４つの　わざの　ＰＰを,すべて　かいふくする。,0,0,DRUG,0,0,0,0,1,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,2,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
042,くすり,フエンせんべい,フエンせんべい,item_038,item_038,000200,0,0,,30,0,0,ー,0,フエンめいぶつの　せんべい。,ポケモン　１ひきの　じょうたい,いじょうを　かいふくする。,フエンめいぶつの　せんべい。,ポケモン　１ひきの　じょうたい,いじょうを　かいふくする。,0,0,DRUG,0,0,0,1,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,
043,くすり,きのみジュース,きのみジュース,item_044,item_044,000100,SOUBI_HPKAIHUKU,20,※装備効果のセルが赤いものは、１度使うとなくなるもの。,30,0,0,ー,0,きのみ　１００％の　ジュース。,ポケモン　１ひきの　ＨＰを,２０だけ　かいふくする。,きのみ　１００％の　ジュース。,ポケモン　１ひきの　ＨＰを,２０だけ　かいふくする。,0,0,DRUG,0,0,1,0,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,
044,くすり,せいなるはい,せいなるはい,item_045,item_045,000200,0,0,,30,0,0,ー,0,ひんしに　なってしまった,ポケモン　ぜんいんの　ＨＰを,すべて　かいふくする。,ひんしに　なってしまった,ポケモン　ぜんいんの　ＨＰを,すべて　かいふくする。,0,0,DRUG,0,0,0,0,0,RECOVER,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,2,0,２番道路ゲート：助手から入手
045,くすり,マックスアップ,マックスアップ,item_063,item_063,009800,0,0,,30,0,0,ー,0,ポケモンの　えいようドリンク。,ポケモン　１ひきの　ＨＰの,きそポイントを　あげる。,ポケモンの　えいようドリンク。,ポケモン　１ひきの　ＨＰの,きそポイントを　あげる。,0,0,DRUG,0,0,0,0,0,RECOVER,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,コガネ北ゲート：メール配達イベント後に入手。チャンピオンロード２Ｆで拾う。アオイの合言葉で入手。
046,くすり,タウリン,タウリン,item_064,item_064,009800,0,0,,30,0,0,ー,0,ポケモンの　えいようドリンク。,ポケモン　１ひきの　こうげきの,きそポイントを　あげる。,ポケモンの　えいようドリンク。,ポケモン　１ひきの　こうげきの,きそポイントを　あげる。,0,0,DRUG,0,0,0,0,0,RECOVER,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,デパートで購入。アオイの合言葉で入手。
047,くすり,ブロムヘキシン,ブロムヘキシン,item_064,item_065,009800,0,0,,30,0,0,ー,0,ポケモンの　えいようドリンク。,ポケモン　１ひきの　ぼうぎょの,きそポイントを　あげる。,ポケモンの　えいようドリンク。,ポケモン　１ひきの　ぼうぎょの,きそポイントを　あげる。,0,0,DRUG,0,0,0,0,0,RECOVER,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,デパートで購入。アオイの合言葉で入手。
048,くすり,インドメタシン,インドメタシン,item_064,item_066,009800,0,0,,30,0,0,ー,0,ポケモンの　えいようドリンク。,ポケモン　１ひきの　すばやさの,きそポイントを　あげる。,ポケモンの　えいようドリンク。,ポケモン　１ひきの　すばやさの,きそポイントを　あげる。,0,0,DRUG,0,0,0,0,0,RECOVER,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,デパートで購入。アオイの合言葉で入手。
049,くすり,リゾチウム,リゾチウム,item_064,item_067,009800,0,0,,30,0,0,ー,0,ポケモンの　えいようドリンク。,ポケモン　１ひきの　とくこうの,きそポイントを　あげる。,ポケモンの　えいようドリンク。,ポケモン　１ひきの　とくこうの,きそポイントを　あげる。,0,0,DRUG,0,0,0,0,0,RECOVER,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,3,2,0,0,0,0,0,0,0,0,0,0,デパートで購入。
