管理No	名称	サイズ	オフセットX	オフセットY	耳	頭	目	顔	胴	腰	手	背面	前面	タイプ	使用効果	反転許可	
102	アイテム102	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	キュート	回転	0	
103	アイテム103	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	エレガント	回転	0	
104	アイテム104	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	ユニーク	回転	0	
105	アイテム105	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	クール	回転	0	
106	アイテム106	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	キュート	回転	0	
107	アイテム107	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	エレガント	回転	0	
108	アイテム108	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	ユニーク	回転	0	
109	アイテム109	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	クール	回転	0	
110	アイテム110	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	キュート	回転	0	
111	アイテム111	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	エレガント	回転	0	
112	アイテム112	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	ユニーク	回転	0	
113	アイテム113	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	クール	回転	0	
114	アイテム114	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	キュート	回転	0	
115	アイテム115	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	エレガント	回転	0	
116	アイテム116	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	ユニーク	回転	0	
117	アイテム117	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	クール	回転	0	
118	アイテム118	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	キュート	回転	0	
119	アイテム119	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	エレガント	回転	0	
120	アイテム120	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	ユニーク	回転	0	
121	アイテム121	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	クール	回転	0	
122	アイテム122	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	キュート	回転	0	
123	アイテム123	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	エレガント	回転	0	
124	アイテム124	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
125	アイテム125	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
126	アイテム126	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
127	アイテム127	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
128	アイテム128	GFL_BBD_TEXSIZ_32x64	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
129	アイテム129	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
130	アイテム130	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	キュート	回転	0	
131	アイテム131	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	エレガント	回転	0	
132	アイテム132	GFL_BBD_TEXSIZ_32x64	0	0	0	0	0	0	0	0	0	0	1	ユニーク	回転	0	
133	アイテム133	GFL_BBD_TEXSIZ_32x64	0	0	0	0	0	0	0	0	0	0	1	クール	回転	0	
134	アイテム134	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
135	アイテム135	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
136	アイテム136	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
137	アイテム137	GFL_BBD_TEXSIZ_32x64	0	0	0	0	0	0	0	0	0	0	1	クール	回転	0	
138	アイテム138	GFL_BBD_TEXSIZ_32x64	0	0	0	0	0	0	0	0	0	0	1	キュート	回転	0	
139	アイテム139	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	エレガント	回転	0	
140	アイテム140	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
141	アイテム141	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	クール	回転	0	
142	アイテム142	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	キュート	回転	0	
143	アイテム143	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
144	アイテム144	GFL_BBD_TEXSIZ_64x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
145	アイテム145	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
146	アイテム146	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
147	アイテム147	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
148	アイテム148	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
149	アイテム149	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
150	アイテム150	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
151	アイテム151	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
152	アイテム152	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
153	アイテム153	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
154	アイテム154	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
155	アイテム155	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
156	アイテム156	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
157	アイテム157	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
158	アイテム158	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
159	アイテム159	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
160	アイテム160	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
161	アイテム161	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
162	アイテム162	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
163	アイテム163	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
164	アイテム164	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
165	アイテム165	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
166	アイテム166	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
167	アイテム167	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
168	アイテム168	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
169	アイテム169	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
170	アイテム170	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
171	アイテム171	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
172	アイテム172	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
173	アイテム173	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
174	アイテム174	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
175	アイテム175	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
176	アイテム176	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
177	アイテム177	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
178	アイテム178	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
179	アイテム179	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
180	アイテム180	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
181	アイテム181	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
182	アイテム182	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
183	アイテム183	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
184	アイテム184	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
185	アイテム185	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
186	アイテム186	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
187	アイテム187	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
188	アイテム188	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
189	アイテム189	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
190	アイテム190	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
191	アイテム191	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
192	アイテム192	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
193	アイテム193	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
194	アイテム194	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
195	アイテム195	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
196	アイテム196	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
197	アイテム197	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
198	アイテム198	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
199	アイテム199	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
200	アイテム200	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
201	アイテム201	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
202	アイテム202	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
203	アイテム203	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
204	アイテム204	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
205	アイテム205	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
206	アイテム206	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
207	アイテム207	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
208	アイテム208	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
209	アイテム209	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
210	アイテム210	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
211	アイテム211	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
212	アイテム212	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
213	アイテム213	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
214	アイテム214	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
215	アイテム215	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
216	アイテム216	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
217	アイテム217	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
218	アイテム218	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
219	アイテム219	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
220	アイテム220	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
221	アイテム221	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
222	アイテム222	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	キュート	回転	0	
223	アイテム223	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	エレガント	回転	0	
224	アイテム224	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	ユニーク	回転	0	
225	アイテム225	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	0	クール	回転	0	
