//============================================================================================
/**
 * @file	debug_watanabe.dat
	{ (u32)g3DarcPath2, NARC_haruka_human_run_nsbca,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_human2_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_human2_stay_nsbca,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_human2_walk_nsbca,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_human2_run_nsbca,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_human2_attack_nsbca,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_human2_shoot_nsbca,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_human2_spell_nsbca,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_human2_sit_nsbca,  GFL_G3D_UTIL_RESPATH },
};

//---------------------
static const GFL_G3D_UTIL_ANM g3Dutil_HarukaAnmTbl[] = {
	{ G3DRES_HARUKA_BCA, 0 },
};

static const GFL_G3D_UTIL_ANM g3Dutil_HumanAnmTbl[] = {
	{ G3DRES_HUMAN_STAY_BCA, 0 },
	{ G3DRES_HUMAN_WALK_BCA, 0 },
	{ G3DRES_HUMAN_RUN_BCA, 0 },
};

enum {
	HUMAN2_ANM_STAY = 0,
	HUMAN2_ANM_WALK,
	HUMAN2_ANM_RUN,
	HUMAN2_ANM_ATTACK,
	HUMAN2_ANM_SHOOT,
	HUMAN2_ANM_SPELL,
	HUMAN2_ANM_SIT,
};

static const GFL_G3D_UTIL_ANM g3Dutil_Human2AnmTbl[] = {
	{ G3DRES_HUMAN2_STAY_BCA, 0 },
	{ G3DRES_HUMAN2_WALK_BCA, 0 },
	{ G3DRES_HUMAN2_RUN_BCA, 0 },
	{ G3DRES_HUMAN2_ATTACK_BCA, 0 },
	{ G3DRES_HUMAN2_SHOOT_BCA, 0 },
	{ G3DRES_HUMAN2_SPELL_BCA, 0 },
	{ G3DRES_HUMAN2_SIT_BCA, 0 },
};

//---------------------
enum {
	G3DOBJ_HARUKA = 0,
	G3DOBJ_HARUKA_STOP,
	G3DOBJ_MAP_WALL,
	G3DOBJ_MAP_WALL1,
	G3DOBJ_MAP_WALL2_1,
	G3DOBJ_MAP_WALL2_2,
	G3DOBJ_MAP_WALL3,
	G3DOBJ_MAP_WALL0,
	G3DOBJ_MAP_FLOOR,
	G3DOBJ_ACCE_SWORD,
	G3DOBJ_ACCE_SHIELD,
	G3DOBJ_ACCE_HAMMER,
	G3DOBJ_ACCE_BOW,
	G3DOBJ_ACCE_STAFF,
	G3DOBJ_HUMAN,
	G3DOBJ_HUMAN2,
	G3DOBJ_HUMAN2_STOP,
};

static const GFL_G3D_UTIL_OBJ g3Dutil_objTbl[] = {
	{ G3DRES_HARUKA_BMD, 0, G3DRES_HARUKA_BMD, g3Dutil_HarukaAnmTbl, NELEMS(g3Dutil_HarukaAnmTbl) },
	{ G3DRES_HARUKA_BMD, 0, G3DRES_HARUKA_BMD, g3Dutil_HarukaAnmTbl, NELEMS(g3Dutil_HarukaAnmTbl) },
	{ G3DRES_MAP_WALL, 0, G3DRES_MAP_WALL, NULL, 0 },
	{ G3DRES_MAP_WALL1, 0, G3DRES_MAP_WALL1, NULL, 0 },
	{ G3DRES_MAP_WALL2_1, 0, G3DRES_MAP_WALL2_1, NULL, 0 },
	{ G3DRES_MAP_WALL2_2, 0, G3DRES_MAP_WALL2_2, NULL, 0 },
	{ G3DRES_MAP_WALL3, 0, G3DRES_MAP_WALL3, NULL, 0 },
	{ G3DRES_MAP_WALL0, 0, G3DRES_MAP_WALL0, NULL, 0 },
	{ G3DRES_MAP_FLOOR, 0, G3DRES_MAP_FLOOR, NULL, 0 },
	{ G3DRES_ACCE_SWORD, 0, G3DRES_ACCE_SWORD, NULL, 0 },
	{ G3DRES_ACCE_SHIELD, 0, G3DRES_ACCE_SHIELD, NULL, 0 },
	{ G3DRES_ACCE_HAMMER, 0, G3DRES_ACCE_HAMMER, NULL, 0 },
	{ G3DRES_ACCE_BOW, 0, G3DRES_ACCE_BOW, NULL, 0 },
	{ G3DRES_ACCE_STAFF, 0, G3DRES_ACCE_STAFF, NULL, 0 },
	{ G3DRES_HUMAN_BMD, 0, G3DRES_HUMAN_BMD, g3Dutil_HumanAnmTbl, NELEMS(g3Dutil_HumanAnmTbl) },
	{ G3DRES_HUMAN2_BMD, 0, G3DRES_HUMAN2_BMD, g3Dutil_Human2AnmTbl, NELEMS(g3Dutil_Human2AnmTbl) },
	{ G3DRES_HUMAN2_BMD, 0, G3DRES_HUMAN2_BMD, g3Dutil_Human2AnmTbl, NELEMS(g3Dutil_Human2AnmTbl) },
};

//---------------------
static const GFL_G3D_UTIL_SETUP g3Dutil_setup = {
	g3Dutil_resTbl, NELEMS(g3Dutil_resTbl),
	g3Dutil_objTbl, NELEMS(g3Dutil_objTbl),
};

//---------------------
enum {
	G3DSCOBJ_PLAYER = 0,
};

static const GFL_G3D_SCENEOBJ_DATA g3DsceneObjData[] = {
	{	G3DOBJ_HUMAN2, 0, 1, 31, FALSE, TRUE, 
		{	{ 0, 0, 0 },
			{ FX32_ONE/4, FX32_ONE/4, FX32_ONE/4 },
			{ FX32_ONE, 0, 0, 0, FX32_ONE, 0, 0, 0, FX32_ONE },
		},moveHaruka,
	},
};

//---------------------
static const GFL_G3D_SCENEACCESORY_DATA g3DsceneAccesoryData1[] = {
	{	G3DOBJ_ACCE_SWORD, 31,
		{	{ 0, 0, 0 },
			{ FX32_ONE/2, FX32_ONE/2, FX32_ONE/2 },
			{ FX32_ONE, 0, 0, 0, FX32_ONE, 0, 0, 0, FX32_ONE },
		},28
	},
	{	G3DOBJ_ACCE_SHIELD, 31,
		{	{ -FX32_ONE*8, FX32_ONE*4, 0 },
			{ FX32_ONE/2, FX32_ONE/2, FX32_ONE/2 },
			{ FX32_ONE, 0, 0, 0, FX32_ONE, 0, 0, 0, FX32_ONE },
		},20
	},
};

static const GFL_G3D_SCENEACCESORY_DATA g3DsceneAccesoryData2[] = {
	{	G3DOBJ_ACCE_BOW, 31,
		{	{ 0, 0, 0 },
			{ FX32_ONE/2, FX32_ONE/2, FX32_ONE/2 },
			{ FX32_ONE, 0, 0, 0, FX32_ONE, 0, 0, 0, FX32_ONE },
		},20
	},
};

static const GFL_G3D_SCENEACCESORY_DATA g3DsceneAccesoryData3[] = {
	{	G3DOBJ_ACCE_STAFF, 31,
		{	{ 0, 0, 0 },
			{ FX32_ONE/2, FX32_ONE/2, FX32_ONE/2 },
			{ FX32_ONE, 0, 0, 0, FX32_ONE, 0, 0, 0, FX32_ONE },
		},28
	},
};

